brand,car_model,segment,drivetrain,seats,top_speed_kmh,acceleration_0_100_s,torque_nm,torque_nm_mapped,power_to_weight_ratio,power_to_weight_category,battery_capacity_kWh,number_of_cells,battery_type,efficiency_wh_per_km,efficiency,fast_charging_power_kw_dc,fast_charge_port,range_km,towing_capacity_kg,cargo_volume_l,length_mm,width_mm,height_mm,car_body_type,manufacturing_country
Dacia,Spring Electric 45,A - Mini,FWD,4,125,19.1,125.0,92.19525,0.232,Low,25.0,72.0,Lithium-ion,109,2.88,29.0,CCS,165.0,1500.0,308.0,3700,1622,1516,Hatchback,Romania
Dacia,Spring Electric 65,A - Mini,FWD,4,125,13.7,113.0,83.34450600000001,0.2566371681415929,Medium,25.0,72.0,Lithium-ion,114,2.88,29.0,CCS,160.0,1500.0,308.0,3700,1622,1516,Hatchback,Romania
Citroen,e-SpaceTourer XL 50 kWh,N - Passenger Van,FWD,9,130,13.3,220.0,162.26364,0.3545454545454545,Medium,46.3,216.0,Lithium-ion,219,4.665226781857451,78.0,CCS,180.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,France
Peugeot,e-Traveller L2 75 kWh,N - Passenger Van,FWD,9,130,14.2,270.0,199.14174000000003,0.2925925925925925,Medium,68.0,324.0,Lithium-ion,202,4.764705882352941,79.0,CCS,260.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,France
Peugeot,e-Traveller L3 50 kWh,N - Passenger Van,FWD,9,130,13.3,270.0,199.14174000000003,0.2888888888888888,Medium,46.3,216.0,Lithium-ion,219,4.665226781857451,78.0,CCS,180.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,France
Peugeot,e-Traveller L3 75 kWh,N - Passenger Van,FWD,9,130,14.2,270.0,199.14174000000003,0.2925925925925925,Medium,68.0,324.0,Lithium-ion,204,4.764705882352941,79.0,CCS,260.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,France
Citroen,e-SpaceTourer XL 75 kWh,N - Passenger Van,FWD,9,130,14.2,220.0,162.26364,0.359090909090909,Medium,68.0,324.0,Lithium-ion,204,4.764705882352941,79.0,CCS,260.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,France
Citroen,e-SpaceTourer M 75 kWh,N - Passenger Van,FWD,9,130,14.2,220.0,162.26364,0.359090909090909,Medium,68.0,324.0,Lithium-ion,202,4.764705882352941,79.0,CCS,260.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,France
Renault,5 E-Tech 40kWh 95hp,B - Compact,FWD,5,130,12.0,215.0,158.57583000000002,0.2771331529075821,Medium,40.0,93.0,Lithium-ion,129,2.325,59.58362787513017,CCS,255.0,500.0,326.0,3922,1808,1489,Hatchback,France
Citroen,e-SpaceTourer M 50 kWh,N - Passenger Van,FWD,9,130,13.3,220.0,162.26364,0.3545454545454545,Medium,46.3,216.0,Lithium-ion,217,4.665226781857451,78.0,CCS,180.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,France
Renault,Kangoo Grand E-Tech Electric,N - Passenger Van,FWD,7,130,13.3,245.0,180.70269,0.2040816326530612,Low,45.0,184.0,Lithium-ion,170,4.088888888888889,50.0,CCS,220.0,1500.0,500.0,4911,1860,1815,Small Passenger Van,France
Peugeot,e-Traveller L2 50 kWh,N - Passenger Van,FWD,9,130,13.3,270.0,199.14174000000003,0.2888888888888888,Medium,46.3,216.0,Lithium-ion,217,4.665226781857451,78.0,CCS,180.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,France
Leapmotor,T03,A - Mini,FWD,4,130,12.7,158.0,116.534796,0.189873417721519,Low,36.0,216.0,Lithium-ion,136,6.0,30.0,CCS,225.0,1500.0,210.0,3620,1652,1577,Hatchback,China
Nissan,Townstar EV Passenger L2,N - Passenger Van,FWD,7,130,13.3,245.0,180.70269,0.2040816326530612,Low,45.0,216.0,Lithium-ion,173,4.8,50.0,CCS,220.0,1500.0,819.0,4911,1860,1815,Small Passenger Van,Japan
Toyota,PROACE Verso L 75 kWh,N - Passenger Van,FWD,9,130,13.3,260.0,191.76612,0.3038461538461538,Medium,68.0,324.0,Lithium-ion,204,4.764705882352941,79.0,CCS,260.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,Japan
Toyota,PROACE Verso M 50 kWh,N - Passenger Van,FWD,9,130,12.1,260.0,191.76612,0.3,Medium,46.3,216.0,Lithium-ion,217,4.665226781857451,78.0,CCS,180.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,Japan
Opel,Zafira-e Life L3 75 kWh,N - Passenger Van,FWD,9,130,14.2,260.0,191.76612,0.3038461538461538,Medium,68.0,324.0,Lithium-ion,204,4.764705882352941,79.0,CCS,260.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,Germany
Toyota,PROACE Verso M 75 kWh,N - Passenger Van,FWD,9,130,13.3,260.0,191.76612,0.3038461538461538,Medium,68.0,324.0,Lithium-ion,202,4.764705882352941,79.0,CCS,260.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,Japan
Ford,e-Tourneo Custom L1 160 kW,N - Passenger Van,RWD,8,130,9.0,415.0,306.08823,0.1686746987951807,Low,64.0,332.0,Lithium-ion,370,5.1875,70.0,CCS,235.0,2000.0,672.0,5050,1999,1959,Small Passenger Van,USA
Opel,Zafira-e Life L3 50 kWh,N - Passenger Van,FWD,9,130,13.3,270.0,199.14174000000003,0.2888888888888888,Medium,46.3,216.0,Lithium-ion,219,4.665226781857451,78.0,CCS,180.0,1000.0,989.0,5333,1920,1890,Small Passenger Van,Germany
Opel,Zafira-e Life L2 75 kWh,N - Passenger Van,FWD,9,130,14.2,270.0,199.14174000000003,0.2925925925925925,Medium,68.0,324.0,Lithium-ion,202,4.764705882352941,79.0,CCS,260.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,Germany
Opel,Zafira-e Life L2 50 kWh,N - Passenger Van,FWD,9,130,13.3,270.0,199.14174000000003,0.2888888888888888,Medium,46.3,216.0,Lithium-ion,217,4.665226781857451,78.0,CCS,180.0,1000.0,603.0,4983,1920,1890,Small Passenger Van,Germany
Ford,e-Tourneo Custom L1 210 kW,N - Passenger Van,RWD,8,130,8.0,415.0,306.08823,0.1686746987951807,Low,64.0,332.0,Lithium-ion,370,5.1875,70.0,CCS,235.0,2000.0,672.0,5050,1999,1959,Small Passenger Van,USA
Mercedes-Benz,EQT 200 Standard,N - Passenger Van,FWD,5,132,12.6,245.0,180.70269,0.2040816326530612,Low,45.0,300.0,Lithium-ion,167,6.666666666666667,50.0,CCS,225.0,1500.0,551.0,4498,1859,1819,Small Passenger Van,Germany
Peugeot,e-Rifter M 50 kWh,N - Passenger Van,FWD,5,132,11.7,270.0,199.14174000000003,0.2962962962962963,Medium,50.0,102.0,Lithium-ion,152,2.04,80.0,CCS,235.0,750.0,775.0,4403,1921,1818,Small Passenger Van,France
Nissan,Townstar EV Passenger,N - Passenger Van,FWD,5,132,12.6,245.0,180.70269,0.2040816326530612,Low,45.0,216.0,Lithium-ion,158,4.8,50.0,CCS,225.0,1500.0,819.0,4488,1860,1838,Small Passenger Van,Japan
Mercedes-Benz,EQT 200 Long,N - Passenger Van,FWD,7,132,13.3,245.0,180.70269,0.2040816326530612,Low,45.0,300.0,Lithium-ion,177,6.666666666666667,50.0,CCS,220.0,1500.0,828.0,4922,1859,1811,Small Passenger Van,Germany
Citroen,e-Berlingo M 50 kWh,N - Passenger Van,FWD,5,132,11.7,260.0,191.76612,0.3076923076923077,Medium,50.0,216.0,Lithium-ion,149,4.32,80.0,CCS,235.0,750.0,775.0,4403,1921,1803,Small Passenger Van,France
Citroen,e-Berlingo XL 50 kWh,N - Passenger Van,FWD,7,132,11.7,260.0,191.76612,0.3076923076923077,Medium,50.0,216.0,Lithium-ion,149,4.32,80.0,CCS,230.0,750.0,1050.0,4753,1921,1814,Small Passenger Van,France
Toyota,Proace City Verso Electric L1 50 kWh,N - Passenger Van,FWD,5,132,11.7,260.0,191.76612,0.3076923076923077,Medium,50.0,216.0,Lithium-ion,149,4.32,80.0,CCS,235.0,750.0,775.0,4403,1921,1803,Small Passenger Van,Japan
