brand,car_model,battery_type,fast_charge_port,drivetrain,car_body_type,manufacturing_country,segment,feature,value,value_numeric,is_numeric,feature_type
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,top_speed_kmh,155.0,155.0,True,performance
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,battery_capacity_kWh,37.8,37.8,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,number_of_cells,192.0,192.0,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,torque_nm,235.0,235.0,True,performance
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,efficiency_wh_per_km,156.0,156.0,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,range_km,225.0,225.0,True,performance
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,acceleration_0_100_s,7.0,7.0,True,performance
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,fast_charging_power_kw_dc,67.0,67.0,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,towing_capacity_kg,1500.0,1500.0,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,cargo_volume_l,185.0,185.0,True,dimension
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,seats,4.0,4.0,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,length_mm,3673.0,3673.0,True,dimension
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,width_mm,1683.0,1683.0,True,dimension
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,height_mm,1518.0,1518.0,True,dimension
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,torque_nm_mapped,173.32707000000002,173.32707000000002,True,other
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,power_to_weight_ratio,0.2851063829787234,0.2851063829787234,True,performance
Abarth,500e Convertible,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,efficiency,5.07936507936508,5.07936507936508,True,other
Abarth,500e Hatchback,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,top_speed_kmh,155.0,155.0,True,performance
Abarth,500e Hatchback,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,battery_capacity_kWh,37.8,37.8,True,other
Abarth,500e Hatchback,Lithium-ion,CCS,FWD,Hatchback,Italy,B - Compact,number_of_cells,192.0,192.0,True,other
